date;Direction;v_count;v_vel
2022-01-03 03:00:00;Център;4;32.25
2022-01-03 04:00:00;Околовръстно;4;58.25
2022-01-03 04:00:00;Център;2;51.0
2022-01-03 05:00:00;Околовръстно;12;49.5
2022-01-03 05:00:00;Център;11;48.0
2022-01-03 06:00:00;Околовръстно;37;48.054054054054056
2022-01-03 06:00:00;Център;32;41.65625
2022-01-03 07:00:00;Околовръстно;41;51.80487804878049
2022-01-03 07:00:00;Център;36;49.75
2022-01-03 08:00:00;Околовръстно;61;53.29508196721312
2022-01-03 08:00:00;Център;60;48.75
2022-01-03 09:00:00;Околовръстно;94;51.5531914893617
2022-01-03 09:00:00;Център;81;48.5679012345679
2022-01-03 10:00:00;Околовръстно;99;51.45454545454545
2022-01-03 10:00:00;Център;121;49.05785123966942
2022-01-03 11:00:00;Околовръстно;159;52.685534591194966
2022-01-03 11:00:00;Център;134;48.56716417910448
2022-01-03 12:00:00;Околовръстно;158;52.221518987341774
2022-01-03 12:00:00;Център;151;50.70198675496689
2022-01-03 13:00:00;Околовръстно;158;51.88607594936709
2022-01-03 13:00:00;Център;151;51.20529801324504
2022-01-03 14:00:00;Околовръстно;171;51.80701754385965
2022-01-03 14:00:00;Център;160;50.5
2022-01-03 15:00:00;Околовръстно;166;50.12048192771084
2022-01-03 15:00:00;Център;177;51.909604519774014
2022-01-03 16:00:00;Околовръстно;160;50.90625
2022-01-03 16:00:00;Център;175;51.85714285714285
2022-01-03 17:00:00;Околовръстно;149;51.40268456375839
2022-01-03 17:00:00;Център;181;49.58011049723757
2022-01-03 18:00:00;Околовръстно;130;52.22307692307693
2022-01-03 18:00:00;Център;155;49.36774193548387
2022-01-03 19:00:00;Околовръстно;97;50.01030927835052
2022-01-03 19:00:00;Център;84;53.10714285714285
2022-01-03 20:00:00;Околовръстно;51;51.94117647058823
2022-01-03 20:00:00;Център;65;50.4
2022-01-03 21:00:00;Околовръстно;36;52.11111111111112
2022-01-03 21:00:00;Център;44;50.27272727272727
2022-01-03 22:00:00;Околовръстно;21;51.38095238095238
2022-01-03 22:00:00;Център;26;47.15384615384615
2022-01-03 23:00:00;Околовръстно;18;52.5
2022-01-03 23:00:00;Център;6;38.16666666666666
2022-01-04 00:00:00;Околовръстно;12;51.833333333333336
2022-01-04 00:00:00;Център;14;38.42857142857143
2022-01-04 01:00:00;Околовръстно;4;54.5
2022-01-04 01:00:00;Център;6;46.333333333333336
2022-01-04 02:00:00;Околовръстно;2;51.0
2022-01-04 02:00:00;Център;3;34.666666666666664
2022-01-04 03:00:00;Околовръстно;5;55.8
2022-01-04 03:00:00;Център;11;41.36363636363637
2022-01-04 04:00:00;Околовръстно;6;42.333333333333336
2022-01-04 04:00:00;Център;4;45.75
2022-01-04 05:00:00;Околовръстно;17;48.52941176470589
2022-01-04 05:00:00;Център;33;45.51515151515152
2022-01-04 06:00:00;Околовръстно;54;49.64814814814815
2022-01-04 06:00:00;Център;55;41.94545454545455
2022-01-04 07:00:00;Околовръстно;168;50.04166666666666
2022-01-04 07:00:00;Център;194;50.33505154639175
2022-01-04 08:00:00;Околовръстно;168;51.05952380952381
2022-01-04 08:00:00;Център;176;47.97727272727273
2022-01-04 09:00:00;Околовръстно;138;49.84057971014493
2022-01-04 09:00:00;Център;108;46.12037037037037
2022-01-04 10:00:00;Околовръстно;153;50.41830065359477
2022-01-04 10:00:00;Център;132;47.03030303030303
2022-01-04 11:00:00;Околовръстно;154;51.09090909090909
2022-01-04 11:00:00;Център;177;50.94915254237288
2022-01-04 12:00:00;Околовръстно;200;52.38
2022-01-04 12:00:00;Център;154;47.01948051948052
2022-01-04 13:00:00;Околовръстно;181;50.6243093922652
2022-01-04 13:00:00;Център;170;46.66470588235294
2022-01-04 14:00:00;Околовръстно;169;52.01775147928994
2022-01-04 14:00:00;Център;173;48.06936416184971
2022-01-04 15:00:00;Околовръстно;163;51.53374233128834
2022-01-04 15:00:00;Център;202;48.70792079207921
2022-01-04 16:00:00;Околовръстно;232;50.672413793103445
2022-01-04 16:00:00;Център;232;47.91379310344828
2022-01-04 17:00:00;Околовръстно;259;50.06949806949807
2022-01-04 17:00:00;Център;230;47.35652173913044
2022-01-04 18:00:00;Околовръстно;199;50.22613065326633
2022-01-04 18:00:00;Център;176;46.09659090909091
2022-01-04 19:00:00;Околовръстно;121;50.27272727272727
2022-01-04 19:00:00;Център;114;47.675438596491226
2022-01-04 20:00:00;Околовръстно;76;52.01315789473684
2022-01-04 20:00:00;Център;63;47.87301587301587
